domain_name,labels,tld,registration_state,registration_contact,expiration_date,renew_by,auto_renews,premium_domain,renewal_price,whois_privacy,dnssec,registry_name_server_records,zone_name_server_records,zone_active,reverse,has_secondary,zone_providers,certificates_count,email_forwards_count
axorcist.me,,me,registered,PS-Alserbach,2026-06-10 16:21:56 UTC,2026-07-23 00:00:00 UTC,true,false,29.50,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
automator.dev,,dev,registered,PS-Alserbach,2026-06-10 21:05:54 UTC,2026-07-23 00:00:00 UTC,true,false,19.90,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
tryautomator.com,,com,registered,PS-Alserbach,2026-06-10 21:19:25 UTC,2026-07-23 00:00:00 UTC,true,false,15.50,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
vibetunnel.ai,,ai,registered,PS-Alserbach,2027-06-15 17:55:16 UTC,2027-07-28 00:00:00 UTC,true,false,99.20,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
vibetunnel.sh,,sh,registered,PS-Alserbach,2026-06-15 18:46:41 UTC,2026-07-20 00:00:00 UTC,true,false,70.90,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,1
vibetunnel.io,,io,registered,PS-Alserbach,2026-06-15 19:07:02 UTC,2026-07-20 00:00:00 UTC,true,false,67.90,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
vibetunnel.app,,app,registered,PS-Alserbach,2026-06-15 19:14:00 UTC,2026-07-28 00:00:00 UTC,true,false,22.50,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
vibetunnel.dev,,dev,registered,PS-Alserbach,2026-06-15 19:15:06 UTC,2026-07-28 00:00:00 UTC,true,false,19.90,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
clode.sh,,sh,registered,PS-Alserbach,2026-06-15 19:17:19 UTC,2026-07-20 00:00:00 UTC,true,false,70.90,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
vibetunnel.me,,me,registered,PS-Alserbach,2026-06-15 19:21:38 UTC,2026-07-28 00:00:00 UTC,true,false,29.50,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
getvibetunnel.com,,com,registered,PS-Alserbach,2026-06-15 19:21:57 UTC,2026-07-28 00:00:00 UTC,true,false,15.50,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
vibetunnel.run,,run,registered,PS-Alserbach,2026-06-15 19:26:46 UTC,2026-07-28 00:00:00 UTC,true,false,34.70,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
vibetunnel.org,,org,registered,PS-Alserbach,2026-06-15 19:34:48 UTC,2026-07-28 00:00:00 UTC,true,false,14.30,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
clode.ai,,ai,registered,PS-Alserbach,2028-11-14 22:09:00 UTC,2028-12-27 00:00:00 UTC,true,false,99.20,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
vt.sh,,sh,registered,PS-Alserbach,2028-04-30 12:00:00 UTC,2028-06-04 12:00:00 UTC,true,false,70.90,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
markdansi.md,,md,registered,PS-Alserbach,2026-11-25 00:00:00 UTC,2026-11-25 00:00:00 UTC,true,false,73.70,true,false,"emma.ns.cloudflare.com,scott.ns.cloudflare.com","emma.ns.cloudflare.com,scott.ns.cloudflare.com",true,false,,,0,0
